Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2022-01-03,9.664045333862305,9.70723260702912,9.478006825872665,9.481329021292263,52704700
2022-01-04,9.700589179992676,9.767031189714045,9.604247410477278,9.687300397861996,51739200
2022-01-05,9.325189590454102,9.723844194827445,9.282002314574935,9.69726726344549,78459800
2022-01-06,9.3185453414917,9.517872646722095,9.248781133165279,9.398276770499086,61163100
2022-01-07,9.361733436584473,9.398276956130985,9.242136924355194,9.338478700016346,47507600
2022-01-10,9.305254936218262,9.381663517376206,9.208913185819556,9.298610546471341,37455200
2022-01-11,9.58099365234375,9.657402256454333,9.252103864801438,9.335156860654871,73623800
2022-01-12,9.873339653015137,9.936460105583997,9.617536914245864,9.617536914245864,81378200
2022-01-13,10.07266616821289,10.175651694736327,9.800252472067282,9.810219058625293,76717500
2022-01-14,10.448065757751465,10.497897421981143,10.046088981191549,10.05937776292959,96458800
2022-01-17,10.464676856994629,10.567662388325676,10.3816238660661,10.431455533894411,35675900
2022-01-18,10.511188507080078,10.624140648838226,10.28860641992657,10.484611569821935,78198800
2022-01-19,10.461355209350586,10.700547607643271,10.444744863752343,10.597562070917206,77480200
2022-01-20,10.537761688232422,10.630781252301881,10.335112851488296,10.464675295234665,85353100
2022-01-21,10.554375648498535,10.590918538508372,10.474644842598726,10.487932993426634,61345400
2022-01-24,10.61417293548584,10.713836275286695,10.31186008662664,10.527797745291203,79117100
2022-01-25,10.959671974182129,11.039402126579645,10.491252576517002,10.531118286359723,98358500
2022-01-26,11.252021789550781,11.38490711659477,11.062661022250559,11.062661022250559,98679900
2022-01-27,11.25534439086914,11.507824986372693,11.019472876797858,11.37826249214795,90631000
2022-01-28,10.810176849365234,11.411479650680803,10.703869129775036,11.228763336840647,117400500
2022-01-31,10.747054100036621,10.962992334757566,10.654035176667739,10.796886390291542,62450300
2022-02-01,10.962995529174805,11.069303263226175,10.614173197613237,10.747057231533372,57315200
2022-02-02,10.803533554077148,11.125779574613725,10.75037968889166,11.099202008376926,36271700
2022-02-03,10.654036521911621,10.936416156243729,10.504541533202381,10.747055457025644,51087800
2022-02-04,10.84007740020752,11.039404083829194,10.590917778392281,10.766990358145105,59346800
2022-02-07,10.68061637878418,10.88990902774498,10.673971986664885,10.81350041930542,48868100
2022-02-08,10.574305534362793,10.614171244116969,10.384944838729368,10.597560267701079,62590000
2022-02-09,10.61417293548584,10.86000908917541,10.514508962040923,10.544408090709991,50960500
2022-02-10,10.77695369720459,10.929772136008484,10.61084837903858,10.730444233463864,49534600
2022-02-11,11.215473175048828,11.265305466913553,10.84007464087578,10.886584104062685,88013400
2022-02-14,10.962995529174805,11.275274339539685,10.90319727035989,11.248698039670918,55687000
2022-02-15,10.790245056152344,10.856687706212353,10.594239935483788,10.850043314477539,65689000
2022-02-16,10.939741134643555,11.195544523754595,10.886587265950883,10.906520441943707,65811600
2022-02-17,10.896549224853516,11.059333600886104,10.813496256268827,10.913159565112908,43255200
2022-02-18,10.962995529174805,10.992894658582262,10.720480931664607,10.820144273926747,60304700
2022-02-21,11.245375633239746,11.295207939889835,10.96299594165778,10.979606288111743,51263800
2022-02-22,11.208832740783691,11.5211115451464,11.032759529973712,11.368294338795806,80206700
2022-02-23,11.368294715881348,11.494534359773219,11.228765020937477,11.35500593211752,86530100
2022-02-24,11.092556953430176,11.723760173635982,10.856686769981241,11.560975758391148,139674100
2022-02-25,11.295205116271973,11.295205116271973,10.92977251648421,11.112488816378091,86189100
2022-03-02,11.517789840698242,11.723762200459827,11.424770882927366,11.71379497834991,58071800
2022-03-03,11.374938011169434,11.604163806200358,11.348360446203966,11.567620288016865,69237400
2022-03-04,11.371613502502441,11.521109115134996,11.235406670390082,11.321782476483497,55418000
2022-03-07,10.564337730407715,11.49453075854836,10.507861684393497,11.461310076834963,110954100
2022-03-08,10.783600807189941,10.953029630450576,10.467999799336583,10.630783597130351,111633500
2022-03-09,10.81682014465332,10.903194682838793,10.544405848740322,10.830107657790263,87779300
2022-03-10,11.19554328918457,11.494533292377147,10.803533075571323,10.830109373342905,136437700
2022-03-11,10.79356861114502,11.421449098473923,10.654038909911803,11.265309050431288,92153700
2022-03-14,10.58759593963623,10.926451673129487,10.471321621464323,10.77363446852485,52274100
2022-03-15,10.331791877746582,10.477965314666836,10.122497992258307,10.34508002638805,66272000
2022-03-16,10.242094993591309,10.477965821413989,10.08927779178161,10.464677038485817,72034900
2022-03-17,9.969680786132812,10.431455198062922,9.800252614055921,10.3816235318389,178319300
2022-03-18,10.1690092086792,10.238773422375244,9.919850216374893,9.9962588219403,93097100
2022-03-21,10.551053047180176,10.660682980287723,10.178975333626143,10.268672724435254,67700800
2022-03-22,10.504544258117676,10.66400524058588,10.414846861437933,10.62746234958772,56128600
2022-03-23,10.647394180297852,10.786923877109153,10.527798293043167,10.607529095760988,52956100
2022-03-24,10.77031135559082,10.83010961099916,10.52115301412947,10.647393282712823,49402800
2022-03-25,10.730447769165039,10.813500772436113,10.604207482996424,10.68061672757535,51780100
2022-03-28,10.497897148132324,10.65735935660914,10.291925472073592,10.650714965913444,68610500
2022-03-29,10.730447769165039,10.883264991034633,10.604207482996424,10.673972335239073,93809000
2022-03-30,10.959671974182129,10.959671974182129,10.757022496965893,10.796887573164652,69648400
2022-03-31,11.1124906539917,11.152355735565505,10.79688902891951,10.820143765444906,94269500
2022-04-01,10.966316223144531,11.225442413255028,10.933095534116854,11.145710985385325,72545400
2022-04-04,10.863332748413086,10.929775402451495,10.713837093648715,10.929775402451495,56053000
2022-04-05,10.760345458984375,10.982928136911285,10.760345458984375,10.850042842570913,45847200
2022-04-06,10.750377655029297,10.889906049510804,10.644069944770663,10.830107804079338,56947100
2022-04-07,11.308493614196777,11.315138004408833,10.796886973459166,10.843396437655704,118469400
2022-04-08,11.364970207214355,11.431412848928973,11.245373705585639,11.318460738200518,60772700
2022-04-11,11.278596878051758,11.328427914252938,11.222120182944673,11.261986532651363,48125400
2022-04-12,11.245375633239746,11.521112200070688,11.228765286785784,11.428093246097935,68522800
2022-04-13,11.484566688537598,11.560975282823518,11.328426670877509,11.418124046940454,101438800
2022-04-14,11.364723205566406,11.655473757557528,11.32474474471613,11.484657894913244,119382100
